address,underlyingValue,debt
0x0057be07beef5d9b4beb9e2d147906e83d1915c8,4504572695101579,2031992307916436
0x017bf999c55e6a72f7bed10dbd78e3c514ea2228,2893475277098135989,1436837681751727489
0x019ed608dd806b80193942f2a960e7ac8abb2ee3,5006657699348785,2169216852193440
0x03e7ab483ea1d177e4be2472bf16ca17b8cf280d,4400184506952262,-95730444211215
0x04a38539567837666eb4ee6e027005d14410386d,21302671446948950321,10363018998755657941
0x04e5828738d7db4eb99ca67d5a5ff45fb2a713cd,120060794734015,-1721036724634
0x06ea3b4fc6e7f8e8ceb712b641c49479963cca46,100105807550887,-4890992644320
0x07497437db00a12db5addb99d3cdd9f6937222d9,5005179178127208,2257813621424673
0x07a92f07b414157f1b51dc6363c4e41483c9ae30,346047665217453452,-14897393320182650
0x084f1a3ec5d2c5c3da6126a262d0d9f19bfee12c,5005386688591562,2255445662196589
0x09e0f94e493bfd4e34dd9a7cfacdcc54b08ae7fd,5005175376751309,-244544013480760
0x0b35234f93db05a3290658ccd5cf7e7d0e125f3d,5006135143749201,2071243755175597
0x0bc24444fe0c7ed98c0d570a9f159ddd42217c2a,3300339801835561311,233554175180096873
0x0c1cfd35d86ae760134f307667b6cafb6c7fc7e8,205543940832214716,102565644675152572
0x0c3380f0844f90ad87e07ac86a22d545bfbe6b25,4205819544258480,1905960700552009
0x0df5283ba7e4ef17530bc4bd801d0aa7e97c8e9f,2491594197089005,-106856024654740
0x0e9b56201bb3ce364c354018b623ee03824e7414,5503091260152257,2466232396977216
0x0fe240a875d41949e10a3a9b35bff251bcccaa77,5004871946631110,2257675030690529
0x11a49404b74ae8dd718e339bcf2d152b71e08ff2,4702774144317156,2004461101656536
0x121e1573b7c6c15aa4c036d54bfd2974cf38a163,5005191230626853,2255455211926930
0x127ad227fb8a9f3b12984175260dfc165ccda8c8,4304232188930690,-210297169470489
0x145c584f2f022997a9d0e5fcb4346042229525e1,123823940817091655,61499148718821021
0x1486723d87469daaeb176a5e7b3c83c556bea224,5004901106709186,2255469386868245
0x158a4cf04d9d342200e44bbf39bd1bbe1e6bbab3,5002648099924539,2298985434356709
0x1633090139689acf26bc44c7dc9c5f2d4e320526,5005142291209878,2155457603020257
0x172484f3a0a21e023fd25203525d8a98fc204cca,5502545426213463,-236421472415406
0x17a91203a9e9c3519c2f76210497ef7f4be2352f,10010221817625594,4515565650893287
0x181142de6a3666ddd27bdac934011d6d8dc8ce71,4574288733886741,2165081786255671
0x18cfd6bc4ce35fa076da527fe384ac11b50c267f,5598624263691200,2573540000042261
0x197cef85f8347adea3fd23b6e8fc1aaa86fc2a1e,4003795814142173,1815444023408542
0x1ac714eed291aa4e55d6febb937d67365b5e8b04,5005014321711572,2257739255443445
0x1bba15127f9fd12a20e0e8c3a1e9c88245452ef3,8860968618166415,3997142746166085
0x1dca1f25e29ff5c35bfb4a6e39ff872bf717945b,80043700593578699,36686425171692098
0x1ebb73f5f47bcc3d7dc1dabf7284875e3ae40e07,5006726186552081,2271114532433085
0x1f77ec78737902cba88d96eb3b61fa252e9fd7cb,35016086389937803,16091095147830340
0x1f77f2c2936f3a401daf3dbc94faa0f88269b1a6,1593472150347817754,752168735307554871
0x20eb0ea0c92bae9f081e04bd5573ee8a5108c175,110054809264196,-3800896927273
0x21c9aba2392dd5e15ce74bf9c8685ac4907b5fab,50053066009655331,23375440916191287
0x22d2c9e7c66178e33898febf14ab4b33135d0abc,5005147766238784,-244542664479968
0x2330eb2d92167c3b6b22690c03b508e0ca532980,125129054163132797,58233943319300342
0x23bcdd2cf157b97dea34436be36b6b897b02061a,110052286362793,-3800809795340
0x23d344a3fe9450753324523425eac8bb6754eb8e,4633363101936158,2102120040421494
0x23f0d08797a87e63f55637b02ef25361290d52e4,999845311507880,-3316905535588
0x251183363307aa24e403efbb3d5637f66f56fc5e,100015323802821,-5330518113459
0x27146cd533760e0867db2647dad531fde92d80ef,5003357412322089,2298636039884084
0x2988d030b060ec8c226eebad66682e5b0c717424,5002943896500676,-202339534102849
0x2a2b7015c8b308aa45cb4d6a5fee46770d92ce1a,518997262084090525,254370832902873466
0x2a9266c354bf9ad6e790e776e7dbbe7c780e1f45,1535720466637510,765625802263637
0x2bc2d445fe62335f2d095ff00a0288d05b384381,4504287301820235,2031863568301899
0x2bd043420b21c0d3dcc6e9a35323e9e1ecfd75ac,4104234981088253,-165541194273134
0x2c2fa8a0b0aa01169d1f7e2dc70829572c263d58,4304140409108747,-210292685270771
0x2c9e70dfeb48aa32b9ad7da92e79db921819dfc5,5007241780619967,2288198444995144
0x2e78a0d97479ccb3238a4cd5f373654ba09fef2e,4518111698491412,1664562880047313
0x2f47a6d6115af4fc1935f5c9079c8acba92e5ab4,4504740099315523,2032067823197923
0x301a932d3faba362fd5fe592039f74658dc0945a,4504655710812902,2032029755927215
0x3065c42adb689a651ae406834982ea3c44adde80,10218776694304793,2100728650329346
0x30b93e2faad091b4ee3bb436f414a0f99418eb42,4734410502135162,-198263073033581
0x331b42f8d831ddfe01c872cfc57e2abe7a3110ca,10008321213778901,-416140780814387
0x335e4cb001eb27fe29f46004a082b8eebc295751,383243978099738,181206002875570
0x33bd8d5a4f40285df90694ccb29d6f5859c3977e,4604285227061307,-212235687340611
0x37642f150b392ccbadba784e7941e58cb109b639,512383363358782,-42000242027490
0x38430336153468dcf36af5cea7d6bc472425633a,5006685299163182,2270491623786259
0x3844597c2b75e8510d8895173addc28dd995fa45,209668621611753,94580564054348
0x3a401d1b6ab6d751cc268d1420010140de55ee38,1001048341297389,466155661290945
0x3aceb77bf88c3a92079baa8db3ddb172e3636bb7,4002944388228802,1837483956284397
0x3c2573b002cf51e64ab6d051814648eb3a305363,4554765291687346,2154994856886567
0x3f3623c56cc427ea34d37086a14869957a036a17,4293755728214679,1936893730517899
