address,underlyingValue,debt
0x000ab07b26c48ef3caf9ec23520d86794c9fd74a,1130000000000000000,205061052960278337
0x00a4abfa92e6ccb6efe31c48a1d54796b1941aec,8800000000000000000,3915238638336632601
0x017a5c8e7125dd3dcba503038d19546be1485fc2,190000000000000000,93640982081370816
0x01aa31ae8998f71a91d32105dbcdade03e1a7bb1,99130287415017220,37586651116771733
0x01e23748ad2fa78a927d3b9dda7afd45f7780f32,100000000000000000,20306055336047592
0x021124da49bdabe59a50aa4d88032bafc58e8b51,3927120222644913700,1836510353746435335
0x02632569d858370906ac6116b0ae25059fb34a82,3500000000000000000,576020729493300804
0x02ad0f9cab40def1d6563bfc84f5aea4282842af,5000000000000000,-62422232815335
0x02cd9289e6e8760a61272b5781419ab341507dc5,6000000000000000000,2984808594529764434
0x02cdb392a6d69e5c2a970baa9b40ece990715e1d,200000000000000000,82120880002057092
0x035fc3b0ec2487c1c9def561f578ec77a06b1b12,1524448682967528400,611937289658196048
0x03d60763cfe40d907640fd52ef5787beaf8eee9e,7839333037974018,3582656945382788
0x0438158daedeb42137084602eec7cf557dc2cf56,1010000000000000000,500714443761468791
0x0459a68feb50c9deae20daf91d3ad209a1ec3b9d,1048257134836268400,234505036267482457
0x048235a59c06b10f72cfca1aab571fb12d58e9f1,709130620675373,-23102977855406
0x049b8f0d6eb0ce24c931dc02f3f0e890e6406633,130000000000000000,-2329944798398918
0x04c6fe1ebe5a82e9f86a3e8d2d7c353c71d63c3c,67016838036792710000,33297821011107509047
0x0574215b0a39119c84ca17f1ec83418eeb5ada8e,414715708415501,171534458390022
0x05b100c9f0df7948f88c908ce8bafb8c5e99cce5,6066000000000000000,1006739829009509055
0x05b577839fc3272bea6c3e62033a5b69d2679d87,12626224739681240,2822949713319616
0x07b8a6562ad80d14201c372605f9d85ce5d0258c,500751881218802900,-43555264021038317
0x07bdd52217cf334e1b15b26d8b960f9970c96d30,1000000000000000000,410879910538056189
0x07c6adbb822833e93aa8fb6a24d9cf04365c0868,629161257835492300000,309131894409867948639
0x07cd2826369d9b42a2c4514d8076e560de805e28,3005000000000000000,968791880579595555
0x07f11856e49ff66f34d7b44ad1d6a232cd84a1d1,91876924283841500,35356262049768185
0x08af0ad36971fbd8b611309293c36719ee73a7b9,1000254502304290800,-26612578644912256
0x091a64d13566576a4ad1dd4da7d9a915b3ca827e,999999999999994,-117802953369689
0x092ff11df073ae8e8cd70e44dd96c57c4bec2581,35000000000000000,17243070941105025
0x093ad56857aaa28615f6efef5518e564bba39c64,250813091305951630000,122373863709168523296
0x095d53ff2e29ed51d374c7a7b3e6b72d9f1cf723,2000000000000000000,-35845304590752589
0x0a2f7a40c83a08ba3b1240da14805e267278ffa6,999504479811521800,494613348403537541
0x0a3c11832804e9ff965c1a4ed3463a608033a12f,600000000000000000,-35076514157525400
