address,underlyingValue,debt
0x0057be07beef5d9b4beb9e2d147906e83d1915c8,16297242166364094,1834268086892014
0x0129588c5346d5a2b636bd38e26d70f06893ae11,100000081713621,-4623430911786
0x019ed608dd806b80193942f2a960e7ac8abb2ee3,2510000000000000,899027088901277
0x01c31a99199c3fa64dfcfda80e0ba00c7789081c,2700000000000000,-124832532613041
0x02f023a23466eb3b4344dac94a276ca6b2b25536,58000000000000000,25443626205165452
0x030e8fcb0536d4d3e1bea105230fe946101fdb97,87829878123108580,-5137402188261772
0x03625cb5e7a1bb174dc3d8471e513cd0c8e32ffa,356167282727075,174211118488169
0x03f11c7a45ba8219c87f312eecb07287c2095302,2700000101984086,-124832537328200
0x045ae901e59ddebdc647e28b269348b049d15b3f,1440666818914004,697244437346558
0x0464d1871930ba0aa1b398fb28ab348f6b7caffe,108116450995758,-1634307435555
0x048235a59c06b10f72cfca1aab571fb12d58e9f1,260317223876604220,-6711853240107066
0x04bad808a6ef5d6e309bcf4e44e7ec6736b07ad8,13301277910169880,-601839559281644
0x04fcb6fc3daaea7bd3a595593ab00a212904b5c0,1861347809408029,909197468101948
0x05310a8d1e87038eb79eccad7cdbce64d5cb9827,230000000000000,99831167508882
0x053b3745b77deb6b93d9effbc2b381aab239d481,2500000000000000,886883131954282
0x0556bdc524fcd2b8855eaacb1e10638b292a47a3,9989529218684162000,4799029964380422453
0x05916a13d15ec698ec86c1b2961bed296b3ba8ce,195760917605585,-8655043388864
0x059f9b3eaeb183feb097a71a861b35ae6f22afde,1529034421605395,739985367322490
0x063959e3730d3620407196c59fdc85e4fe64c3db,100001175616300,-4623481487579
0x06def639045e0acc26eae895aef38dd737d670d6,6000816613714508,2232073237295725
0x06e8be0955703574a442f3d3767d962e1e5945de,2501244492083865,-319385692189461
0x07497437db00a12db5addb99d3cdd9f6937222d9,3001109086308333,961245908188194
0x0783d9278e6f685274a49c1558b38231ccb3de18,100000173953846,-4623435176445
0x07a92f07b414157f1b51dc6363c4e41483c9ae30,5720321191403037000,2849991154740713954
0x07a9acac89a4a63fda53d9c6904c478e2a973b07,823533907119761500,404170064639934491
0x07bca906bee4c8fdc323a3b19e46d7093b0a2630,2500000000000000,884414321654592
0x07c8acc9643f2cf1ee62adfca7a59e4daaba2804,1899541942828355,863822877296489
0x082784c86d4d6e9ca0e19e93da1f78b116bd8307,500000000000002,-344416716667216
0x084f1a3ec5d2c5c3da6126a262d0d9f19bfee12c,1078352035078382,-6136206295925
0x08586520fb31723fc2559c3671cadb89189af739,151295765095503,-6995049455740
0x0878a21df6e0fb0fe6eddc7754e53d95b83492d1,3599999999999999,864835665356413
0x087ca5bacf37f23d4b346a8e36c1b45352b37359,1503196570001356,744375251137563
0x09182b9ce972400c18b1d6924f9e57ab2ed5e0bc,300000047569581,-13870283600793
0x09e0f94e493bfd4e34dd9a7cfacdcc54b08ae7fd,3163566425760626,853734811475080
0x0ad9fbf7aa4c95133dbef42f4cc347c001a6e678,2600442187438719,-120229549693248
0x0b047d8a08012dae90124c05d9be68605db34b68,1951775069402411,385835506927517
0x0b0f9f02d9aef778433dea88c4bec341d6c86834,2599999999999999,885047980535187
0x0b35234f93db05a3290658ccd5cf7e7d0e125f3d,4029731016741532,1828553831122925
0x0b776552c1aef1dc33005dd25acda22493b6615d,3581651099163954,-296863081133990
0x0c1cfd35d86ae760134f307667b6cafb6c7fc7e8,3754174934572229000,1876453775745725236
0x0cac11a7d29ab8c87d8fedb9cc736146f4fe8e84,2700000000000000,975167467386959
0x0d46dc4f79a5b5df4175200f80125e7311d2ef99,2500000000000000,889469212053065
0x0e9b56201bb3ce364c354018b623ee03824e7414,4879437673506031,2214588767318790
0x0ef25ad333a465910a0c469627523903a28e320a,3000000000000000500,1291659923026521133
0x0ef5cbf621f37e75cfa17ecfb29dc836aa95eba0,2600734713232626,767910330551120
0x0fdc03303d1d504652b3691ca7da1d9385385592,1787403990597052,884138627204777
0x106743a463cb591022a81133b2de024f91f70973,3376942179135549,947204350849882
0x11315cce8f009e4cb4234ffeaf2e860b84e5b0f6,1735593571732605,847513230971165
0x11a49404b74ae8dd718e339bcf2d152b71e08ff2,9983387277844842,4515242516187168
0x11dbd8eadb1e2f0da57c4863ca9fa7d983b6f1ef,5879438704097143,2664888561778780
0x11ebee2bf244325b5559f0f583722d35659ddce8,4812533675780106,414592344626318
0x121e1573b7c6c15aa4c036d54bfd2974cf38a163,2056443240680369,939647038241340
0x12314c256835a94cd0038704de11d394e341b36b,10000000000000000,1547532527817128
0x1260dafcc668e3786a5f48b367895384f4a80e0b,2999999999999999,-135740241654861
0x127ad227fb8a9f3b12984175260dfc165ccda8c8,5600760698212977,-717237363025439
0x139776871ee95f55d20b10d9ba5a0385451066cd,14000000000000000000,4776644126080389250
0x13a66d465e64d3d7107abbfe07dde13abce551bb,100000000000001,-4524674721828
0x13f51805cd4327165e810f4c891690e804384608,4999999999999999,2263766263908563
0x145c584f2f022997a9d0e5fcb4346042229525e1,302449690298261100,136915368970385496
0x149fe5da1acbe133eaaedfc0cb3ca5989c54d690,2799530886936807,1111278992186889
0x14f3137b6c53939aa15910c5dedd0c5959be16b7,2499999999999999,-115585678345408
0x15650251c4f97c4c82c6eaa2325dc333b01efde6,3000000000000001,-138702814014490
0x15962221e0e7a41de9da1615f9cb64cbfff83408,100040221074303060,-6947462453021379
0x15cc6926a4bea1eb176a738f7a8c63e65b437f84,2000000097300420,-92468547174940
0x15fe8337a6e23629fa09dc6e0f8b041d681ec995,999999999999999,-69446692324492
0x1603cf3d4f31d542f4a2dede23ef1e708869f2e2,169230000000000,-8005598120729
0x171b9ec9a9a114a1fb0bbf67d7131fad33151648,500000000000000,-23117135669081
0x172484f3a0a21e023fd25203525d8a98fc204cca,8407210861318013,3560375599186270
0x172e56c24f35b3621ea06e69c927ad383ac4f606,2659999999999999,882395241624461
0x173334f1ff4a2f71ace7c74d9a919072f5bee653,100000000000001,-4623427133816
0x1737a9d297e00c04184f14c78f312c28d03d4686,2500000000000000,884414321654592
0x175aab6a6023428622182d206080c8bea0a99fcc,500460447012253,-38764798488146
0x17f43f532b3f91c1628ff513290e730446cb9355,200000000000000,-9246854267631
0x18b5418c1af447c1673c4bea93a8e582fb2b696e,1840376317436412,721674829730439
0x18ef14e38fe6090666c072fdc43cbee338037095,2711971624409272,1125712586769792
0x18fd3b1bc08af0d4ea39322c96901b84e367d134,2074229872273375,952921143025594
0x19679dec805742254cb5e7323fff3398a3889254,1852277186282077,909051811514342
0x196b0fe81c90d5762dc8e96e7d96fdd8caa4c58e,479000000000001,-22146215970980
