address,underlyingValue,debt
0x000872be5ec7dc8197ef6618ef507d9a449cac1a,999998229705000000,-106026849574390210
0x0009d32184afc79797ec63589e62ad5b53134aad,169831698985335420000,72517646650720701039
0x001098febf4e26d8d08e54655c0dcab607072df4,2395541729024922400000,1017897025454211915607
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,10000000000000000000,-269714050317173605
0x004f315ebc162a04a8f478d839ddf153dbb00ece,224480459552924370000,-6054553396307968722
0x005b0743d8b2ed646499dc48b64b95e71b8afa43,1011915350658962200000,303232588856716596580
0x00983187e18f62a2ac1dcebd63f2e5f50394cc74,720053990640000000000,294488781766371551132
0x00f9da19ca19947815e3e88640538435c0946240,12560000000000000000,4754689457796413868
0x0119ae566d3ba94a7717400e986be673e6aaa572,196599403985749480000,-5302562153893877711
0x012b41fbbebb18628dd430f6dfabf94f9e8160dd,25706392029748670000,9129539208785887443
0x012e168acb9fdc90a4ed9fd6ca2834d9bf5b579e,1380615646446726000000,574279977333361417827
0x0151cc37e580002656bd501d6084e6a2131d8b04,11000000000000000000,-294678007738156745
0x01b9369cf8624e1f9960864c18411b4b07eb91ac,2742339227726096400000,854813567554448994796
0x021028695eafdde60e139d87000a8bd6cb65645e,190260000000000000000,73804819574994541642
0x0212fbfb3bba5d8566f09e8ef78bcde68ccb30a3,1952083797684760000000,763688019202854213174
0x02131f806a105353d9c7a13900c6a510b59df80b,50060194472465190000,12675807481807014130
0x0218cd84d3f4c5ba7af9daee7ec9193596743c24,800000000000000000000,-21431127835502308752
0x0263e43c0de253a0fe354b60d35d2855c514a887,1100000000000000000,-135741603708867786
0x027f7432906e21f381197124397a4d27ff709bb7,14100000000000000000000,4447613024872764212989
0x02ca2568cfd5014566352022d126472b21279edb,1504555436301765600000,629057502396680342282
0x02cdb392a6d69e5c2a970baa9b40ece990715e1d,149999930322905000000,45674698667818615301
0x02fca6de847bdfb73d1cd4a783b6acebe21465c1,395000000000000000000,-10581619368779264953
0x03021732c5ed089d92c6246fb1b7f77c32c3e1cb,2291999516126596000,-5729913435266230995
0x032c701886ad0317f0e58c8f4a570c6f9c0bbf4a,149230969200289480000,54785391822967001362
0x035fc3b0ec2487c1c9def561f578ec77a06b1b12,11623910833993550000000,3959906883807915234175
0x03c2bfd2509de9b13d0124015077e100a292336d,9994900000000000000,-267752474503827532
0x041851bf9651ac34914c3060e5047b1a6a872052,95589223418183340,-533367191519960496
0x042d7f399342b14166e5c716b816cbc1fc649511,10000000000000000000,2660540569292868935
0x048235a59c06b10f72cfca1aab571fb12d58e9f1,653816447262519600,-799828754903182288
0x04a8f225d9057c468b5062c668dcd7db725ac321,1013644119729029600000,427647439848464348813
0x04ae8a023749f91110f1d2aa2971cb82ead7c1ed,999996716446000000,-27571570657653326
0x04f4320a12ddb86ca115e43c77b2155459244942,95164426520000000000,33189371676801337358
0x050b0fe971b95da31e34ea2efc417ad187e76fb8,92778563931882640000,36617359379870322703
0x062164d0c571002b9b34a9a71ddaeeb0b6f93132,1814095111241686800000,658030107269400706833
0x06850a5c42d8f51c5b10aa573a9569b75e1666a7,3913972782420000000000,1341036911724537024695
0x0691e1f7c2f6edf28fbccba8844845ae5f53901e,40000000000000000000,15334978488673001243
0x06c8270541b2fb47a987b129a2eeea44287f70fe,97000000000000000000,-9829240808610712404
0x06d64634852cd54c63829d6dab5bc4c433de2369,62592092538143890000,-6564690315058915596
0x07328ec93289cb9de4025786fa0715b39196a02c,926939729780000000,-543443401255932565
0x073ab1c0cad3677cde9bdb0cdeedc2085c029579,56502522616020450,-6179126612716059
0x075764e96cd7e3426fe0f99894f40fada3686af9,75164763495950900000,-8153231333405971500
0x07a90e1b2788a108aac075a8c987c9aa521497e6,1234767066057338500000,460164518915060317203
0x07c089708a392714f4ba2cb56dde7a7803a36f96,1011899562349246800000,-27292352947539071547
0x07fc63bb1bfb664b1fcb41d8193738cad1255c09,7682251006730489000000,3270482939638034822964
0x07fe6321f82e98028965c9af70c9695e426af7b1,199998916225000000,-23759164741887178
0x0822b01ce57d3626d86774705dd772790e7cc470,309926044750000000000,131356925116570565807
0x083203f1d4dbab71e23b6b0298df2a7185440f46,63313302465732720000000,31146803416769879862801
0x083bdbaa68acd8cbfdbe5502ea8a27e9322e9bae,1410422608843377500000,585928396852719458857
0x0875c4e5dcfa3234a109005bafbad93cee6c5cf9,62895000000000000000,-1684888481517397136
0x087e8708f3c370f7f547cfd750939c17f301f5c3,3494250000000000000000,1501253111230260584970
0x08acea65474e0b290fe3d2598f8e78caa352b570,278156550000000000000,116608037158284042149
0x08fc2d49ac735e8fb5bf247ebd677f63ddfcbee4,5000000000000000000,1756758711669950366
0x0929ec1f6257a5df91a2b7c7af1292b0bbce9b02,21748051095443608000,8797098955267015643
0x093d5f54f2a212f82056b34c12e3710e24cc6af1,932434559701395000,-112351549881499159
0x094e715a19a7751f8c9b0d24a89b8cc743ad4e14,100541594767021420000,35576519603464559309
0x09641015fb8b08388a7367b946e634d37dddffaa,9080731028482484000,3335907507463834961
0x0979b13d93a61562cea2149264ce709d05c82b55,893954545314412200000,384518156496386340378
0x09c6232d54b51841a202d76f76fa679df53a3b3e,2000000000000000000000,824404462697065812104
0x0a8774781cba956b6065840c2f09708832c541a9,49421990093769970000,20417623624628002512
0x0aa8afdc36571f9a37f3b9fef0dfcaca66ea86d6,2335699793446397300000,875349011285371014565
0x0b0806ee651e7b05fc383d1b1bed3525148e9e87,15000000000000000000,6282525786974950971
0x0b2ca90df1f1519a25da0fdda1314a12e2092f34,2970695600000000000000,935168699855494021444
0x0b43a13c2002848a1ae721c0ea3b65fd49434c4b,999998229705000000,-127600324020607999
0x0bba9956e4daf62b142228c631af56a59946291a,499998611105000000,-70803617922703138
0x0bbe643d5d9dd0498d0c9546f728504a4aab78f4,739706874040359400,-11288861297556826
0x0c4e11942715bd67afa0a77329d7acb3b89f0418,1017722847129132300000,425286677431032138522
0x0c6689245d23c2b1d51d5fec17c4a5a00d83b372,6457404183311591000000,1595865891234032004523
0x0c94edf79a015337d0a3defe243ba0c5b6ad1aaf,204451650656754500000,85835398352315040757
0xbc1f278341c2dedbba9f3d98406d24da09c8bd29,7999955635739748000000,3760626578747303326246
0x0cbb86fa9cfbf2b17cd9ae5022efe9ddd578051c,6495122658785008000000,2146729061326324081353
0x0cccd195c06dd53e7e95f9dd68115d5de0be6b44,189119360000000000000,74769098387161738597
0x0d07e592baca62cfa18f692254158006934792d5,185000000000000000000,75313977193148592007
0x0d39023c538a3b00b406e50768d4c9d2a59c15c2,20000000000000000000,7499039626845026742
0x0d567e8bfe01d9a0e8f1f696ba0deeb37f045211,28000000007934070000,11664148283565677402
0x0d86a2fd448ad216692238a28d2753def5b1d853,239475667481918980,-28413064128494635
0x0df190a2fb14deb4ae241fd280c5820a7259e1ee,10640000000000000000,4444405810856523758
0x0e324e842ef7948ebd3b2e8682f444f2a6ca5592,18999977633714000000,-1719796845093227392
0x0e44ccebe5c4b5463291882d04c5a4af1c2c04be,135773575500000000000,56565702795960451109
0x0e7af95de26bf10e6b9f00d846c22757aa582b9c,502946814159490700000,-4308847912893482440
0x0e881cda866c3e590aa38d3bad7897eb1b940bae,777245345571039400,-98104115102455660
0x0edc16b7e2f36f3f3a6f523c6248181ef38fd715,109934550000000000000,45862549700040560606
0x0ee6ff7a9fab79952b4179654b97c7bac82386c8,978289596440000000000,408263367069769325713
0x0f7997042252aae0f6f106298dc38f068f49a4ea,103778641000000000000,39786080682969543524
0x0f7d35a1b8127dc0750322f7e26e2230df0c9169,140305242805851490,-17613059029017591
0x0f96997c6cbe8fb6ddadf2747a26614e3f7baa57,100000000000000000000,41948991895258640705
0x0fcf9f7e1974acb95386a5ca9f1594908b449264,10499985945630000000,-666994306329460146
0x0fe13a5c39140fd78e1f308f96c9fbad810b713a,12500277305017820000,-1858144441732865337
0x0feee57b985476a795df5ffda50f17ed60d92873,100000000000000000000,41948991895258640705
0x10485fe2f23afaa8a85eef091b7233a600463c52,129166767667885330000,62382310890820796261
0x10bb49fa0c2f0c1e1cb7addf2cd8cf8b58a30ac5,15000000000000000000,-401833646915668289
0x10c9cca806ba4a8f580ffedecd9c2e8a49e6ef91,7037928678205643000000,2940436413770491732145
0x110724f68a1aabaed919810114df0d3db50ab605,698741000000000000000,326657708119067103331
0x1109940470391b15c0ecfc07b9f092b16cf36ec6,61579690912646080000,22778499541170048425
0x11153b62cac9a11f1d5cf6548db69827139d25f9,473000000000000000000,205930804566432451053
0x11360c928657afe5cd536a4cebf03dee47bb2f4c,100000000000000000000,42148716127547710006
0x115fc4aa168baeecacf1667e3df5534f62700fff,7354410636546927000,-702342060649763798
0x117f0ff72a35c0e1883c1bf62b68a64baf238c1c,2683701766592381600000,-72383207331098524746
0x11c7a2c59030fda298a626ddf354a2f17998793c,47500002000000000000,-1272473268810769170
0x11d272524e5d104c317c94b241fcc842b09aa5a9,11667287188749023000,-314683128389116882
0x1244d96845d94b3d1a550110a5c97ef018f4d24e,1398955914020269300000,578734034438358530990
0x12465b29d9f2342c3d0c547316f106409cc7f596,100000000000000000000,-2678890979437788594
0x125e419842966672dc4b28272d99cec4665642a8,1795059080881364300000,-217055074447655541258
0x12aa329e8c6df902c0087907fb4959194010a59b,32730717245239684,-3943812220359392
0x12bb0aea5c4bed1e050e4358d15e6c82beb90d7b,27270086984676577000,11928355791417993952
0x12d2dd1c6389a66a53f9af8f1bb54607c6ca1305,59500000000000000000000,20590083299462669867043
