address,underlyingValue,debt
0x0000014ffa35ed6ad0d5c9c079c908716c113eb8,99998563938000000,-6580798791087377
0x002748db885d4ccfe3c7c92143f0805f4ebeec01,100001586321000000,-6655215775760958
0x002a9a4a1c2a5bfb889833a1af14eec452be86da,34004831133000000,-2172978053137426
0x00322843f6b20d35449539f5ad9ccc6de2b3fbea,25996266741445000000,-3252170950104714819
0x00409fc839a2ec2e6d12305423d37cd011279c09,999998245148000000,-67676156034605396
0x00415764a621b01c5c235084c9bf408c34a908eb,10457855113636000000,4145011442961499601
0x00489ddbf5aa399ee576c066a25cc908e038721f,126076691923000000,-8581648745163095
0x004b639bbaa7ad8696e50017b6b45872c64cf7c8,607575246376000000,-48693416268877822
0x00574f760ffa04f757fca3b2ffac370d9a51012a,29989091587000000,-3751679171832113
0x0057bd83a142da84b6404616c683e21e7dd6fa5f,271975693731000000,-19337804339753357
0x0057be07beef5d9b4beb9e2d147906e83d1915c8,10274138658511000000,-1283254369523462984
0x005b12f5b7c22b497528fa0a6bc81510748fb58e,3395900173211000000,-173120284471674556
0x006254729ad977042210071b2e118c82739a191b,51274727595000000,-3620319092319725
0x006e767bd3f7e51fe4408de1289ad1a24a67066a,324029681430000000,-40536586556803263
0x00bdf8a5e236dd8cbdad9cb1e46a7cff27ef294a,437999714516000000,-28824293852565878
0x00c6a1a5f61558491bc8ceda03fdb4658513ccea,99988489328000000,-12240722134546001
0x00ce049d0624a087473a4bd5078ac90ad25175e8,177183173531000000,-12135374507758607
0x00d5be1832300f59a914c78e25acba7fe0568a91,872434024553000000,-75393839650687595
0x00eae0f664682f868988372b1495edffd4c7e488,172734225755000000,-11367455083982010
0x00ec18a3436af2eb4a9450fa50d42a951d2adf9c,13982551219000000,-930539397267600
0x00ed0914d0dc4ecba5810529456d09c87a245b94,318838234897000000,-20982404027957041
0x01043868e5079ce26ba2694638b2282ccae7ba53,584143014637000100,-78647269740053269
0x01238ba1b264777c87bc8e0d1da19e923a5e178e,409860321325000000,-44754693754741724
0x0125d8203b5866a9f4f4f6c0920d038f3d6b0cbe,11815101638522000000,4429470023064580211
0x0128cd2dae8c8de4b6ccc48289e934b3d3057d35,11587782640000000,-14414609795684549
0x0129588c5346d5a2b636bd38e26d70f06893ae11,300002120739219700,-23507564294030016
0x0147f0aa627bf209fd7cd3ed34c6637a8969a4a6,999998736373000000,-54743038943967213
0x0182d30948ef5fed925ba22cf5bc6724d1cfbb59,19968123868000000,-1823445591113884
0x019061f6272b28e9d6baad2a1d65d0c16bd8c555,499992819690000000,-67523103642387630
0x019ed608dd806b80193942f2a960e7ac8abb2ee3,9393401248679000000,4084900847204037694
0x01c4b95326e32d54de70abe203ed2c3e34c6e223,499998864456000000,-29911480985111315
0x01d5435525af610d30dcedbd5c255e10757e2651,19198176816000000,-1885158259922339
0x01f6348a1651c7bdf5c878a819693e45b0276272,208050771110000000,72412843254642423
0x01fa89f1966a8c66db094953d550c07e13108754,283005869510000000,-37526067509265396
0x021347565515e576ef931e404d628da613d785b9,11023613888000000,-883474800919687
0x022b36d50976c939b76615e5bedf2487c1924de7,49984742612000000,-4564497853745669
0x024724568577ab3e3bc7ed8a247034ec48cdca9d,99992823140000000,-9131126875162243
0x024899f1b2e7c3cfc5e3db7f54ecc284fd775d29,28999764885000000,-1908443583403354
0x024dcd278b57232c8c166045b7e97b8e942370b5,10000057886000000,-665504291179350
0x029d1923f5c2c07bb54b6d5acce4a320fe0e51b9,10000057886000000,-665504291179350
0x02caaa46b77ae1fd7246cd6bda0e41c67398fecd,234617517680000000,-14485086420160252
