address,underlyingValue,debt
0x000872be5ec7dc8197ef6618ef507d9a449cac1a,999998229705000000,-106026849574390210
0x041851bf9651ac34914c3060e5047b1a6a872052,95589223418183340,-533367191519960496
0x048235a59c06b10f72cfca1aab571fb12d58e9f1,653816447262519600,-799828754903182288
0x04ae8a023749f91110f1d2aa2971cb82ead7c1ed,999996716446000000,-27571570657653326
0x07328ec93289cb9de4025786fa0715b39196a02c,926939729780000000,-543443401255932565
0x073ab1c0cad3677cde9bdb0cdeedc2085c029579,56502522616020450,-6179126612716059
0x07fe6321f82e98028965c9af70c9695e426af7b1,199998916225000000,-23759164741887178
0x093d5f54f2a212f82056b34c12e3710e24cc6af1,932434559701395000,-112351549881499159
0x0b43a13c2002848a1ae721c0ea3b65fd49434c4b,999998229705000000,-127600324020607999
0x0bba9956e4daf62b142228c631af56a59946291a,499998611105000000,-70803617922703138
0x0bbe643d5d9dd0498d0c9546f728504a4aab78f4,739706874040359400,-11288861297556826
0x0d86a2fd448ad216692238a28d2753def5b1d853,239475667481918980,-28413064128494635
0x0e881cda866c3e590aa38d3bad7897eb1b940bae,777245345571039400,-98104115102455660
0x0f7d35a1b8127dc0750322f7e26e2230df0c9169,140305242805851490,-17613059029017591
0x12aa329e8c6df902c0087907fb4959194010a59b,32730717245239684,-3943812220359392
0x14b46ced7c91bd5b57e566fe2bc0ad64a04775a4,20632963730346244,-2387231655286159
0x15cd7d7a1fc0ca1b91f58d64a591da4f5c50ad7e,99999299601000000,-7764299365851294
0x1607477f43e4f5497375b4e6ea88cdf34b97adef,99998916225000000,45320602543894024
0x19d50766c78a75f80bf2bd33b51e9baa26882a6f,110000000000000000,-13733895702712948
0x1a673e6d033e9d4aa95ae47accd46e4c149a4389,111917874100358100,-16499750316053681
0x2177da04f9479496c2292d6344d306aa49beb34a,515042585682468860,-60498176184345556
0x2de3b92e6cdd225dcfd7892717f66034d4c9b563,157177279960000000,-226385139809853670
0x2fc949862444df65a64a8d501d2409bad5429ca7,99998916225000000,-11323673053683740
0x313dd634a51764c4af18f700905ff36aed8a569e,936782450941094800,-84059129913030957
0x335e4cb001eb27fe29f46004a082b8eebc295751,211500247028000000,-15459743746663650
0x34361fbcc7a331a7e2ec3e788dd69705d222522f,56808402528489830,-6639430814625229
0x37b3a715a9507c85c1845168ff1801799dacf808,278993298724085630,-31827606655171005
0x38cbda485e09273d1d8dc42552a53e775b29dd6f,33796419775000004,-4415472397958314
0x3b15cec2d922ab0ef74688bcc1056461049f89cb,900508098454999900,-503781700447801449
0x3fc9b3fe28eccaef14e057d450e53e5070e0429e,123500402302081470,-158284841508815819
0x42b0a3c7f94a9ee4ac3e2242ec8031f45df7f589,103534216180000000,-11724003200733020
0x4492d4c651d0dee821f140fca6c61d560524c4de,99998916225000000,-6048504693988749
0x4afcb917eef1f7c6ccd9ecf6d66d2d5d4b070886,555374909999998400,-65895439173953441
0x4ed0f6fe7156efedd299812b8d27f60a6c70ff6d,201080633323377950,-25972770474822540
0x58f0b1c5e44accb8bb7c1259d0f21e96a43e3ca4,19998775750000000,-1209639999754941
0x5a5ed37d0e8bb6aa6a52f85c86f147ef5f7f4bf3,90659437575000000,-769978521238840346
0x5c86b7ed8d697f4e85a2837166edb80d98cd4d8c,503279290362819100,-74811589631818954
0x5ca1ea5549e4e7cb64ae35225e11865d2572b3f9,639594123516092500,-56116701226462634
0x61c3f4cec7b1aab3a83a23e3f098ef6a95c0b3c5,101623354184061000,-106992170905141127
0x638da903f696142d7d2499106aa7a57105e6ef5f,166879091633486800,-13620989313741380
0x65125d50161fff1a765ae653b6c0981817371641,189725802245469800,-15355280365768888
0x68916ac770b8167766f4871812ce6400cea530f9,999999999999999200,-115106933505078315
0x6cb4890d712c91020df2e62fb7bb869ce6ca3e8a,99998916225000000,-6418672294374950
0x6d18de948ed04c2f05f89299b44b9ba1969df3ac,949080439900000000,-106353004631284920
0x6dde7372072036eefaf880600dee87d5019ad2d2,83707422172708270,-97177303466619005
0x6fba3e23406dbb3c010d8c203fb734b6b3ef6dd3,79911410439000000,-12915758891097438
0x70732eb049383dd196faa3d89ff707e11b143f26,269873698187595970,-32517808298888356
0x73cbc02516f5f4945ce2f2facf002b2c6aa359e7,26318945767525664,-3190526449273179
0x78b3367b0f547cd16bac453f788956afce92447b,27420552648137864,-1409275224960003
0x7927f89670f942169476b006966dd6eccdc7425c,22999105666291004,-1684188879912557
0x7b21f97e98b1e7f2183030ff563d427cfe35501c,648472070324157800,-477809401592116654
0x7bb8c69ddd0e497fbbac39eb56b7c8dc20404983,199992794975000000,-26361076799727798
0x7e5b150ef8e4150ed050695ecbaa718a8b163043,299998763665000000,-36451663189410111
0x81686bf7add4e8f22bdf00afcb4ae93f123a6429,99998916225000000,-6732623119919812
0x850b57fa5e6cf7dd624ac9287a2c7c79b342d7a8,132811679198832770,-37547986470719546
0x8a42b9c6b0542a92c8c7e4f4c2735eeb6133fe1c,26519647822776264,-2836088313811417
0x8a7f162daac546997cc36b6b7c528a21800507b9,999999999999916400,-74366794448418566
0x91ca090481a083b3f1eface356747edd36bf1bac,999998229705000000,-60485595391272773
0x920ef33c3dba9ea7607ab8f6b8181ad1dac80f9a,967992128545000000,-175638413258005228
