token_id,user_address,mint_amount_wei,deposit_amount_wei
1,0x000ab07b26c48ef3caf9ec23520d86794c9fd74a,205061052960278337,1130000000000000000
2,0x00a4abfa92e6ccb6efe31c48a1d54796b1941aec,3915238638336632601,8800000000000000000
3,0x017a5c8e7125dd3dcba503038d19546be1485fc2,93640982081370816,190000000000000000
4,0x01aa31ae8998f71a91d32105dbcdade03e1a7bb1,37586651116771733,99130287415017220
5,0x01e23748ad2fa78a927d3b9dda7afd45f7780f32,20306055336047592,100000000000000000
6,0x021124da49bdabe59a50aa4d88032bafc58e8b51,1836510353746435335,3927120222644913700
7,0x02632569d858370906ac6116b0ae25059fb34a82,576020729493300804,3500000000000000000
9,0x02cd9289e6e8760a61272b5781419ab341507dc5,2984808594529764434,6000000000000000000
10,0x02cdb392a6d69e5c2a970baa9b40ece990715e1d,82120880002057092,200000000000000000
11,0x035fc3b0ec2487c1c9def561f578ec77a06b1b12,611937289658196048,1524448682967528400
12,0x03d60763cfe40d907640fd52ef5787beaf8eee9e,3582656945382788,7839333037974018
13,0x0438158daedeb42137084602eec7cf557dc2cf56,500714443761468791,1010000000000000000
14,0x0459a68feb50c9deae20daf91d3ad209a1ec3b9d,234505036267482457,1048257134836268400
17,0x04c6fe1ebe5a82e9f86a3e8d2d7c353c71d63c3c,33297821011107509047,67016838036792710000
18,0x0574215b0a39119c84ca17f1ec83418eeb5ada8e,171534458390022,414715708415501
19,0x05b100c9f0df7948f88c908ce8bafb8c5e99cce5,1006739829009509055,6066000000000000000
20,0x05b577839fc3272bea6c3e62033a5b69d2679d87,2822949713319616,12626224739681240
22,0x07bdd52217cf334e1b15b26d8b960f9970c96d30,410879910538056189,1000000000000000000
23,0x07c6adbb822833e93aa8fb6a24d9cf04365c0868,309131894409867948639,629161257835492300000
24,0x07cd2826369d9b42a2c4514d8076e560de805e28,968791880579595555,3005000000000000000
25,0x07f11856e49ff66f34d7b44ad1d6a232cd84a1d1,35356262049768185,91876924283841500
28,0x092ff11df073ae8e8cd70e44dd96c57c4bec2581,17243070941105025,35000000000000000
29,0x093ad56857aaa28615f6efef5518e564bba39c64,122373863709168523296,250813091305951630000
31,0x0a2f7a40c83a08ba3b1240da14805e267278ffa6,494613348403537541,999504479811521800
33,0x0ae83a9554c0137b06082b166871947ccc4e9674,4428394721652846,19361392604568228
34,0x0bc24444fe0c7ed98c0d570a9f159ddd42217c2a,1645183334272124507,4001544329504439000
35,0x0c6ac3fcea667fd6c62483ce1dbbce6f6ce0fb1f,1350071753276671753,2726937809447320600
36,0x0d2eff31cf0c5700133cfa2eeba980f2897eb173,252190810505635063,614000000000000000
37,0x0d58fe3210646b36410f7aa8bcce96c29ee63605,64747197658955445,145527614541747000
39,0x0e290e66b061435c9dc7f7503f7979537fd5cb7a,98546255516387437,500000000000000000
40,0x0e6670aab873c7ae3e8de7e2c1c24ad5a41f90ef,932475786647305916,2097074950695102500
43,0x0e7af95de26bf10e6b9f00d846c22757aa582b9c,1901063666252793438,4000000000000000000
44,0x0e9476c0d57f6927b01a523caf250111964aa079,2529464232974175,5376295929489066
48,0x0f51bdf7af73eba84ba964299df4c16043224f3e,992886691587698527,6600000000000000000
49,0x0f7981ae60708d4d64040999e463f106b13f07c5,79026603175974,174275886370620
50,0x0f7d35a1b8127dc0750322f7e26e2230df0c9169,147915757096547725906,299546592341136050000
51,0x105e396c4a4681d2a711a1e4472ac97549f58af3,444386971117148080,13612603079383850000
52,0x10bf7045e9fa3f12a48987b3a7497f8bceb3dccc,3698294778822596,7799484137351110
53,0x125e419842966672dc4b28272d99cec4665642a8,1753977170781205992,4099167059464873000
55,0x13604448b8546316c1921e5aab9e6c36e4953fac,3366180141380377,6848473019947495
56,0x13ddb51da11c3e540dd96308e4515380c85bd5d3,91509886699830387,237095612270263100
57,0x145c584f2f022997a9d0e5fcb4346042229525e1,2044373873037561536,4170835848657220000
58,0x146cfed833cc926b16b0da9257e8a281c2add9f3,860601804303789418,1890388028631057700
59,0x1554b0569406f38626828e4ede720a180213425a,1243729145989901054,2760392898024886000
60,0x156ba7caeaede7cd4d89f1eaa53361b1f60f151b,372314096476214931,1150000000000000000
61,0x15962221e0e7a41de9da1615f9cb64cbfff83408,2961546584698171962,12406293882698480000
62,0x159eed89294e8d11172128997f4aad074566a596,527154713042109,1144159916828190
63,0x1674aca0220c10afc4b70cbb2721b3613974bd9f,101683375040292787687,225174472059204080000
65,0x16bc42a8d77ab79e8ec3bd9c1d8bca47626cc6f5,9493619817659,199999999999999
66,0x1744d374bf556e7fa4c02ef6ecf678f3950cf847,27813640766283793,178636557939880930
68,0x180064a1cb33d62510964ea23be9fb2a136142be,1845544343926381443,4081410286109577000
70,0x19bafa77aab2e1fe6cbe4b2c60597b9060b105ee,57597077544879372284,115194155089758720000
71,0x1a1ea5ef21dc8ac849c277a8c687065b4cf0b804,592326834855253106,4200000000000000000
72,0x1a59b2cbec7613ffc6373de6861aab53f0f9b64a,3460100348471090679,8250000000000000000
73,0x1a6db538813dbfa63e1f19f8804447187b7d401d,450562362654900764,1000000000000000000
74,0x1a76a8779b441819c930570a4962e51740c556c0,2066328383365402912,4650001128935528000
76,0x1ac62e0177d30b9f7cfcdab73004b308f06770f0,50394445957510,101532211196085
77,0x1afe17ce4fc3b3273a50ff2a55f7933a3efc85e2,1153598824036036257,14000000000000000000
78,0x1b51cce51e2531c478daa9b68eb80d47247dcbec,76961371790352093704,174857515945953900000
79,0x1b793b70834a80b1cf1b9c279084409de419c956,410647501997359769,1000000000000000000
80,0x1bd019a775d182b8b49646aeadbdd471fda1c2d7,3203230286672672214,6416845353633460000
81,0x1c31ca6e44f6a0ab42d03c452776c48b17b47f67,4371906344571255916,10858962686613717000
82,0x1dac83da90b366399f09324f3d41a4507204c757,42861972470113870934,104000000000000000000
84,0x1e56566dc450392f8c64da0cee263b024ad5d2b1,9816954441917403,50000000000000000
85,0x1f1bbf9cd25a229a79d3ea09c65d940cf0feda01,315461426069584326,1529128820000000000
86,0x1f4986f5542c83c3f5ab57be63062df4564aac39,79832743315491295,236990441797603700
88,0x205e671bf61e4c19716027290485b72a3af5d018,6728506302711758591,15901420039497984000
89,0x207eb28011e62aa694e6722a4306f5e57e379869,1848845000861616364,4088852690486010000
92,0x21359f9b50fc84caa592b8bd53e84be06a2658b4,439309278396077265,2000000000000000000
96,0x22061d1115a9756be87f40978e822fe3cba04665,296347136100087120,2000000000000000000
98,0x2284f2d1d3cc5b7be2752408c432e53002f21731,2876159767811248182,7000000000000000000
100,0x2330eb2d92167c3b6b22690c03b508e0ca532980,6523616648911352229,13061201821965228000
101,0x238643d4106c7c6206f8dc31acb59cd24c979d12,412686848437743,999999999999999
102,0x239eee45a485e194dc254745270df640a65d8431,42335517655017556,210000000000000000
103,0x23bc474aba2b1c6111db4e81957279ab963fa2f6,51435720637758202,139365229281790430
104,0x2406d61812bbe600767fce3392e868f14c9b67f0,4669617329463532,12098646602291542
105,0x2508db65d628d8846a6609cf9d0ff2e2914a2b80,1652115716493516639,3798180889846992000
106,0x2536ddd9e9f22208e525d73f44acb260788a24a7,8414363314160933,40000000000000000
110,0x27816d237c638f9f21b6424aae98acaa0ef5f4a3,1149814253150282945,2800000000000000000
111,0x285b7eea81a5b66b62e7276a24c1e0f83f7409c1,20700955867233878010,56635143399642620000
113,0x29944e955a44fb324142ad78f1a2f7224a4b859f,222253691487000385,1000000000000000000
114,0x29ca8fad0a11d397313e8f7cf4809f49eda408c8,12511271393445384635,27994721643634120000
115,0x2a2b7015c8b308aa45cb4d6a5fee46770d92ce1a,4293285336224809444,8787088968262175000
116,0x2a6bf8a714acdbe9d6e9dd1753ca09b8e7d95328,42116878973532448862,84233757947064900000
117,0x2aaa03a8293053bd4b7fa1740ac94d935c66ee84,16065401534699591222,47246501449684460000
118,0x2b3ab8e7bb14988616359b78709538b10900ab7d,19623780547166515,100000000000000000
119,0x2b856c8db1c58bc242374859795204a64a96ad72,3239106570082684629,7676994799438598000
120,0x2b87b19db9945cef02c2d5b07d99a17f8fde0fb9,18879091216627314,95055003046925250
121,0x2bbad9b24288e2559d60423b9123e38a0ac54d3a,312687678640638730,1970105314214031600
122,0x2c3eae62d380fec7ad276dd47050e2b061a45c9f,78428777642037325,928787993578993000
123,0x2cdf675e966ca6c95cede42144f774031991a60a,853874913330253723,5968680216548667000
125,0x2d3d4e19931ed4d8b6f661e4ba5bed2344c4123b,540940032737008,1273651688048765
126,0x2d5fb580b32cd667c046a789a9cc5dfa129997f0,1251040892797935,2755825629431629
