token_id,user_address,mint_amount_wei,deposit_amount_wei
1,0x0009d32184afc79797ec63589e62ad5b53134aad,72517646650720701039,169831698985335420000
2,0x001098febf4e26d8d08e54655c0dcab607072df4,1017897025454211915607,2395541729024922400000
5,0x005b0743d8b2ed646499dc48b64b95e71b8afa43,303232588856716596580,1011915350658962200000
6,0x00983187e18f62a2ac1dcebd63f2e5f50394cc74,294488781766371551132,720053990640000000000
7,0x00f9da19ca19947815e3e88640538435c0946240,4754689457796413868,12560000000000000000
9,0x012b41fbbebb18628dd430f6dfabf94f9e8160dd,9129539208785887443,25706392029748670000
10,0x012e168acb9fdc90a4ed9fd6ca2834d9bf5b579e,574279977333361417827,1380615646446726000000
12,0x01b9369cf8624e1f9960864c18411b4b07eb91ac,854813567554448994796,2742339227726096400000
13,0x021028695eafdde60e139d87000a8bd6cb65645e,73804819574994541642,190260000000000000000
14,0x0212fbfb3bba5d8566f09e8ef78bcde68ccb30a3,763688019202854213174,1952083797684760000000
15,0x02131f806a105353d9c7a13900c6a510b59df80b,12675807481807014130,50060194472465190000
18,0x027f7432906e21f381197124397a4d27ff709bb7,4447613024872764212989,14100000000000000000000
19,0x02ca2568cfd5014566352022d126472b21279edb,629057502396680342282,1504555436301765600000
20,0x02cdb392a6d69e5c2a970baa9b40ece990715e1d,45674698667818615301,149999930322905000000
23,0x032c701886ad0317f0e58c8f4a570c6f9c0bbf4a,54785391822967001362,149230969200289480000
24,0x035fc3b0ec2487c1c9def561f578ec77a06b1b12,3959906883807915234175,11623910833993550000000
26,0x042d7f399342b14166e5c716b816cbc1fc649511,2660540569292868935,10000000000000000000
27,0x04a8f225d9057c468b5062c668dcd7db725ac321,427647439848464348813,1013644119729029600000
28,0x04f4320a12ddb86ca115e43c77b2155459244942,33189371676801337358,95164426520000000000
29,0x050b0fe971b95da31e34ea2efc417ad187e76fb8,36617359379870322703,92778563931882640000
30,0x062164d0c571002b9b34a9a71ddaeeb0b6f93132,658030107269400706833,1814095111241686800000
31,0x06850a5c42d8f51c5b10aa573a9569b75e1666a7,1341036911724537024695,3913972782420000000000
32,0x0691e1f7c2f6edf28fbccba8844845ae5f53901e,15334978488673001243,40000000000000000000
36,0x07a90e1b2788a108aac075a8c987c9aa521497e6,460164518915060317203,1234767066057338500000
38,0x07fc63bb1bfb664b1fcb41d8193738cad1255c09,3270482939638034822964,7682251006730489000000
39,0x0822b01ce57d3626d86774705dd772790e7cc470,131356925116570565807,309926044750000000000
40,0x083203f1d4dbab71e23b6b0298df2a7185440f46,31146803416769879862801,63313302465732720000000
41,0x083bdbaa68acd8cbfdbe5502ea8a27e9322e9bae,585928396852719458857,1410422608843377500000
43,0x087e8708f3c370f7f547cfd750939c17f301f5c3,1501253111230260584970,3494250000000000000000
44,0x08acea65474e0b290fe3d2598f8e78caa352b570,116608037158284042149,278156550000000000000
45,0x08fc2d49ac735e8fb5bf247ebd677f63ddfcbee4,1756758711669950366,5000000000000000000
46,0x0929ec1f6257a5df91a2b7c7af1292b0bbce9b02,8797098955267015643,21748051095443608000
47,0x094e715a19a7751f8c9b0d24a89b8cc743ad4e14,35576519603464559309,100541594767021420000
48,0x09641015fb8b08388a7367b946e634d37dddffaa,3335907507463834961,9080731028482484000
49,0x0979b13d93a61562cea2149264ce709d05c82b55,384518156496386340378,893954545314412200000
50,0x09c6232d54b51841a202d76f76fa679df53a3b3e,824404462697065812104,2000000000000000000000
51,0x0a8774781cba956b6065840c2f09708832c541a9,20417623624628002512,49421990093769970000
52,0x0aa8afdc36571f9a37f3b9fef0dfcaca66ea86d6,875349011285371014565,2335699793446397300000
53,0x0b0806ee651e7b05fc383d1b1bed3525148e9e87,6282525786974950971,15000000000000000000
54,0x0b2ca90df1f1519a25da0fdda1314a12e2092f34,935168699855494021444,2970695600000000000000
55,0x0c4e11942715bd67afa0a77329d7acb3b89f0418,425286677431032138522,1017722847129132300000
56,0x0c6689245d23c2b1d51d5fec17c4a5a00d83b372,1595865891234032004523,6457404183311591000000
